"from","to","distance"
146,147,100
147,148,100
148,149,100
149,150,100
150,151,100
151,152,100
152,153,100
153,154,100
154,155,100
155,156,100
156,157,100
157,158,100
158,159,100
159,160,100
160,161,100
161,162,100
162,163,100
163,164,100
164,165,100
165,166,100
166,167,100
167,168,100
168,169,100
169,170,100
170,171,100
171,172,100
172,173,100
173,174,100
174,175,100
175,176,100
176,177,100
177,178,100
178,179,100
179,180,100
180,181,100
181,182,100
182,183,100
183,184,100
184,185,100
185,186,100
186,187,100
187,188,100
188,189,100
189,190,100
190,191,100
191,192,100
192,193,100
193,194,100
194,195,100
195,196,100
196,197,100
197,198,100
198,199,100
199,200,100
200,201,100
201,202,100
202,203,100
203,204,100
204,205,100
205,206,100
206,207,100
207,208,100
208,209,100
209,211,100
211,212,100
212,214,100
214,216,100
216,218,100
218,220,100
220,223,100
223,227,100
227,230,100
230,233,100
233,236,100
236,240,100
240,244,100
244,248,100
248,252,100
252,254,100
254,257,100
257,263,100
263,268,100
268,273,100
273,276,100
276,279,100
279,283,100
283,289,100
289,292,100
292,295,100
295,298,100
298,301,100
301,304,100
304,308,100
308,317,100
317,319,100
319,323,100
323,325,100
325,327,100
327,329,100
329,331,100
331,333,100
333,335,100
335,337,100
337,339,100
339,342,100
342,346,100
346,350,100
350,356,100
356,359,100
359,362,100
362,367,100
367,372,100
372,375,100
375,381,100
381,389,100
389,395,100
395,403,100
403,409,100
409,417,100
417,428,100
428,437,100
437,444,100
444,454,100
454,464,100
464,479,100
479,488,100
462,471,132.213556249
442,443,23.9591355528
449,453,45.2895954388
461,467,59.5229497627
418,423,34.800491446
337,340,199.047065383
359,365,221.959866534
210,222,566.913753054
674,677,100.00003847
677,681,99.9999219509
681,682,62.5853073175
672,674,99.9999724729
682,684,99.9999890749
670,672,82.2939217194
664,670,62.0874312702
658,664,127.230881332
654,658,127.395307329
651,654,69.666463024
680,682,97.4749763955
647,651,100.000019673
644,647,99.9999779634
684,686,99.9999645491
640,644,100.000005886
669,670,104.52686782400001
637,640,100.000081812
678,680,99.9999617609
634,637,99.9999841939
659,658,99.680352743
631,634,99.9999732358
686,688,117.706099921
628,631,99.9999963687
653,654,118.737773758
625,628,99.9999963699
675,678,127.581926035
649,653,73.7198964079
624,625,51.7433282181
668,669,59.7932222433
621,624,60.9386574021
616,621,94.6157836231
609,616,100.000012437
604,609,85.8232968612
667,668,70.5448226374
601,604,70.9481811423
595,601,99.9999743344
662,659,99.9999559822
588,595,99.9999807162
541,550,100.00005542
581,588,100.000050672
535,541,99.9999521154
550,558,99.9999786412
528,535,99.9999879474
558,568,130.873584872
575,581,81.563543583
522,528,100.000013641
568,575,100.177675055
506,510,62.992050689
665,663,96.7837774563
516,522,100.000054956
660,662,50.1587671503
619,624,141.064827589
494,506,118.551738386
603,604,73.584978527
560,568,124.60932529
567,575,135.882447041
509,516,99.9999830937
552,560,100.000074229
544,552,100.00001974
614,619,99.9999919175
600,603,100.000013673
538,544,99.9999319159
494,497,80.0000000006
502,509,122.022679258
562,567,100.000025161
610,614,99.9999344754
598,600,99.9999942008
533,538,100.000076085
606,610,100.000027295
492,502,128.490509745
561,562,99.9999804322
596,598,99.9999861198
531,533,99.9999623137
605,606,100.000004833
556,561,99.9999786971
508,514,100.000024633
594,596,87.3274953732
526,531,99.999945414
496,508,99.9999690587
514,520,100.000034017
520,526,100.000035219
608,605,100.000021402
589,594,79.2367771428
553,556,100.00001211
592,594,65.9369638983
612,608,100.000014197
545,553,109.510499545
590,592,63.9458532648
585,589,99.9999548731
539,545,121.558038226
592,597,139.458837359
546,545,63.0028360295
617,612,99.9999511549
587,590,99.999990907
532,539,100.000030166
525,532,100.000001947
580,585,99.9997402401
518,525,99.9999535098
512,518,99.9999976594
611,617,124.54047479
503,512,99.9999950506
597,593,136.05403384
573,580,99.999991698
548,546,89.3183081537
583,587,100.000031905
489,503,121.163023654
555,548,99.9999855032
578,583,63.8226979725
564,555,100.000026247
569,573,147.662025616
529,536,99.9999584359
536,542,100.000057037
569,564,91.2686677269
542,549,99.9999770161
523,529,100.000048994
549,557,99.9999856786
557,563,68.3105962542
572,569,77.2262088573
519,523,99.9999231248
513,519,100.000063523
574,572,122.541760284
504,513,99.9999960665
490,504,128.864435726
527,534,100.000052731
521,527,99.9999529882
515,521,99.9999717152
507,515,125.108368033
498,507,65.1878664834
491,498,77.5964762641
499,507,84.8181012543
495,498,73.2523539356
669,665,65.1280408008
497,502,77.8520583997
488,495,181.181607767
500,499,178.638965954
540,543,139.402287043
661,660,226.218274304
666,663,206.608600088
666,667,210.842949013
676,675,231.904625153
688,690,231.711529891
488,500,100
500,511,100
511,517,100
517,524,100
524,530,100
530,537,100
537,543,100
543,551,100
551,559,100
559,565,100
565,571,100
571,577,100
577,586,100
586,591,100
591,599,100
599,602,100
602,607,100
607,613,100
613,620,100
620,623,100
623,627,100
627,630,100
630,632,100
632,636,100
636,639,100
639,641,100
641,643,100
643,646,100
646,650,100
650,655,100
655,657,100
657,661,100
661,666,100
666,671,100
671,673,100
673,676,100
676,679,100
679,683,100
683,685,100
685,687,100
687,689,100
689,691,100
691,692,100
692,693,100
693,694,100
694,695,100
695,696,100
696,697,100
697,698,100
698,699,100
699,700,100
700,701,100
701,702,100
702,703,100
703,704,100
704,705,100
705,706,100
706,707,100
707,708,100
708,709,100
709,710,100
710,711,100
711,712,100
712,713,100
713,714,100
714,715,100
715,716,100
716,717,100
717,718,100
718,719,100
719,720,100
720,721,100
721,722,100
722,723,100
723,724,100
724,725,100
725,726,100
726,727,100
727,728,100
728,729,100
729,730,100
730,731,100
731,732,100
732,733,100
733,734,100
734,735,100
735,736,100
736,737,100
737,738,100
738,739,100
739,740,100
740,741,100
741,742,100
742,743,100
743,744,100
744,745,100
745,746,100
746,747,100
747,748,100
748,749,100
749,750,100
750,751,100
751,752,100
752,753,100
753,754,100
754,755,100
755,756,100
756,757,100
757,758,100
758,759,100
759,760,100
760,761,100
761,762,100
762,763,100
763,764,100
764,765,100
765,766,100
766,767,100
767,768,100
768,769,100
769,770,100
770,771,100
771,772,100
772,773,100
773,774,100
774,775,100
775,776,100
776,777,100
777,778,100
778,779,100
779,780,100
780,781,100
781,782,100
782,783,100
783,784,100
784,785,100
785,786,100
786,787,100
787,788,100
788,789,100
789,790,100
790,791,100
791,792,100
792,793,100
793,794,100
794,795,100
795,796,100
796,797,100
797,798,100
798,799,100
799,800,100
800,801,100
801,802,100
802,803,100
803,804,100
804,805,100
805,806,100
806,807,100
807,808,100
808,809,100
809,810,100
810,811,100
811,812,100
812,813,100
813,814,100
814,815,100
815,816,100
816,817,100
817,818,100
818,819,100
819,820,100
820,821,100
821,822,100
822,823,100
823,824,100
824,825,100
825,826,100
826,827,100
827,828,100
828,829,100
829,830,100
830,831,100
831,832,100
832,833,100
833,834,100
834,835,100
835,836,100
836,837,100
837,838,100
838,839,100
839,840,100
840,841,100
841,842,100
842,843,100
843,844,100
844,845,100
845,846,100
846,847,100
847,848,100
848,849,100
849,850,100
850,851,100
851,852,100
852,853,100
853,854,100
854,855,100
855,856,100
856,857,100
857,858,100
858,859,100
859,860,100
860,861,100
861,862,100
862,863,100
863,864,100
864,865,100
865,866,100
866,867,100
867,868,100
868,869,100
869,870,100
870,871,100
871,872,100
872,873,100
873,874,100
874,875,100
875,876,100
876,877,100
877,878,100
878,879,100
879,880,100
880,881,100
881,882,100
882,883,100
883,884,100
884,885,100
885,886,58.3264067757
648,652,99.9999805086
645,648,100.84168931
652,655,107.240977006
633,629,130.998931884
635,633,99.9999997468
638,635,100.000021108
642,638,108.895625724
615,618,74.345023082
582,584,90.9511933687
618,622,100.000018654
622,626,95.9704402736
576,579,35.4975791441
566,570,40.0667717536
501,505,25.5381801181
547,554,99.5310198125
611,613,198.973671552
222,230,496.370944439
