"Id","LHC"
1,365
2,365
3,365
4,365
5,365
6,365
7,365
8,365
9,365
10,365
11,365
12,365
13,365
14,365
15,365
16,365
17,365
18,365
19,365
20,365
21,365
22,365
23,365
24,365
25,365
26,365
27,365
28,365
29,365
30,365
31,365
32,365
33,365
34,365
35,365
36,365
37,365
38,365
39,365
40,365
41,365
42,365
43,365
44,365
45,365
46,365
47,365
48,365
49,365
50,365
51,365
52,365
53,365
54,365
55,365
56,365
57,365
58,365
59,365
60,365
61,365
62,365
63,365
64,365
65,365
66,365
67,365
68,365
69,365
70,365
71,365
72,365
73,365
74,365
75,365
76,365
77,365
78,365
79,365
80,365
81,365
82,365
83,365
84,365
85,365
86,365
87,365
88,365
89,365
90,365
91,365
92,365
93,365
94,365
95,365
96,365
97,365
98,365
99,365
100,365
101,365
102,365
103,365
104,365
105,365
106,365
107,365
108,365
109,365
110,365
111,365
112,365
113,365
114,365
115,365
116,365
117,365
118,365
119,365
120,365
121,365
122,365
123,365
124,365
125,365
126,365
127,365
128,365
129,365
130,365
131,365
132,365
133,365
134,365
135,365
136,365
137,365
138,365
139,365
140,365
141,365
142,365
143,365
144,365
145,365
146,365
147,365
148,365
149,365
150,365
151,365
152,365
153,365
154,365
155,365
156,365
157,365
158,365
159,365
160,365
161,365
162,365
163,365
164,365
165,365
166,365
167,365
168,365
169,365
170,365
171,365
172,365
173,365
174,365
175,365
176,365
177,365
178,365
179,365
180,365
181,365
182,365
183,365
184,365
185,365
186,365
187,365
188,365
189,365
190,365
191,365
192,365
193,365
194,365
195,365
196,365
197,365
198,365
199,365
200,365
201,365
202,365
203,365
204,365
205,365
206,365
207,365
208,365
209,365
210,89.03
211,365
212,365
213,89.03
214,365
215,89.03
216,365
217,89.03
218,365
219,89.03
220,365
221,89.03
222,47.78
223,365
224,47.78
225,89.03
226,47.78
227,365
228,89.03
229,47.78
230,365
231,89.03
232,47.78
233,365
234,47.78
235,89.03
236,365
237,47.78
238,89.03
239,0
240,365
241,0
242,47.78
243,89.03
244,365
245,0
246,47.78
247,89.03
248,365
249,89.03
250,47.78
251,47.78
252,365
253,89.03
254,365
255,89.03
256,89.03
257,365
258,89.03
259,89.03
260,89.03
261,89.03
262,89.03
263,365
264,89.03
265,89.03
266,89.03
267,89.03
268,365
269,89.03
270,89.03
271,89.03
272,89.03
273,365
274,89.03
275,89.03
276,365
277,89.03
278,89.03
279,0
280,89.03
281,0
282,89.03
283,0
284,89.03
285,0
286,8.77
287,8.77
288,89.03
289,365
290,89.03
291,29.33
292,0
293,89.03
294,29.33
295,0
296,11.83
297,89.03
298,365
299,11.83
300,89.03
301,0
302,11.83
303,89.03
304,0
305,11.02
306,11.83
307,89.03
308,0
309,11.02
310,11.83
311,0
312,0
313,0
314,0
315,89.03
316,89.03
317,0
318,89.03
319,365
320,11.03
321,89.03
322,11.03
323,365
324,89.03
325,365
326,89.03
327,365
328,89.03
329,365
330,89.03
331,365
332,89.03
333,365
334,89.03
335,365
336,89.03
337,0
338,89.03
339,0
340,138.92
341,89.03
342,0
343,138.92
344,89.03
345,9
346,365
347,9
348,89.03
349,9
350,365
351,9
352,9
353,9
354,138.92
355,36.86809439
356,365
357,36.86809439
358,138.92
359,0
360,36.86809439
361,138.92
362,365
363,36.86809439
364,138.92
365,140.71
366,0
367,365
368,140.71
369,36.86809439
370,0
371,138.92
372,365
373,140.71
374,36.86809439
375,365
376,138.92
377,140.71
378,0
379,0
380,36.86809439
381,365
