"Id","LHC"
1,365
2,365
3,365
4,365
5,365
6,365
7,365
8,365
9,365
10,365
11,365
12,365
13,365
14,365
15,365
16,365
17,365
18,365
19,365
20,365
21,365
22,365
23,365
24,365
25,365
26,365
27,365
28,365
29,365
30,365
31,365
32,365
33,365
34,365
35,365
36,365
37,365
38,365
39,365
40,365
41,365
42,365
43,365
44,365
45,365
46,365
47,365
48,365
49,365
50,365
51,365
52,365
53,365
54,365
55,365
56,365
57,365
58,365
59,365
60,365
61,365
62,365
63,365
64,365
65,365
66,365
67,365
68,365
69,365
70,365
71,365
72,365
73,365
74,365
75,365
76,365
77,365
78,365
79,365
80,365
81,365
82,365
83,365
84,365
85,365
86,365
87,365
88,365
89,365
90,365
91,365
92,365
93,365
94,365
95,365
96,365
97,365
98,365
99,365
100,365
101,365
102,365
103,365
104,365
105,365
106,365
107,365
108,365
109,365
110,365
111,365
112,365
113,365
114,365
115,365
116,365
117,365
118,365
119,365
120,365
121,365
122,365
123,365
124,365
125,365
126,365
127,365
128,365
129,365
130,365
131,365
132,365
133,365
134,365
135,365
136,365
137,365
138,365
139,365
140,365
141,365
142,365
143,365
144,365
145,365
146,365
147,365
148,365
149,365
150,365
151,365
152,365
153,365
154,365
155,365
156,365
157,365
158,365
159,365
160,365
161,365
162,365
163,365
164,365
165,365
166,365
167,365
168,365
169,365
170,365
171,365
172,365
173,365
174,365
175,365
176,365
177,365
178,365
179,365
180,365
181,365
182,365
183,365
184,365
185,365
186,365
187,365
188,365
189,365
190,365
191,365
192,365
193,365
194,365
195,365
196,365
197,365
198,365
199,365
200,365
201,365
202,365
203,365
204,365
205,365
206,365
207,365
208,365
209,365
210,18.55
211,365
212,365
213,18.55
214,365
215,18.55
216,365
217,18.55
218,365
219,18.55
220,365
221,18.55
222,18.55
223,365
224,18.55
225,18.55
226,18.55
227,365
228,18.55
229,18.55
230,365
231,18.55
232,18.55
233,365
234,18.55
235,18.55
236,365
237,18.55
238,18.55
239,0
240,365
241,0
242,18.55
243,18.55
244,365
245,0
246,18.55
247,18.55
248,365
249,18.55
250,18.55
251,18.55
252,365
253,18.55
254,365
255,18.55
256,18.55
257,365
258,18.55
259,18.55
260,18.55
261,18.55
262,18.55
263,365
264,18.55
265,18.55
266,18.55
267,18.55
268,365
269,18.55
270,18.55
271,18.55
272,18.55
273,365
274,18.55
275,18.55
276,365
277,18.55
278,18.55
279,0
280,18.55
281,0
282,18.55
283,0
284,18.55
285,0
286,8.77
287,8.77
288,18.55
289,365
290,18.55
291,29.59
292,0
293,18.55
294,29.59
295,0
296,11.83
297,18.55
298,365
299,11.83
300,29.59
301,0
302,11.83
303,29.59
304,0
305,11.02
306,11.83
307,29.59
308,0
309,11.02
310,11.83
311,0
312,0
313,0
314,0
315,29.59
316,89.03
317,0
318,29.59
319,365
320,11.03
321,29.59
322,11.03
323,365
324,29.59
325,365
326,29.59
327,365
328,29.59
329,365
330,29.59
331,365
332,29.59
333,365
334,29.59
335,365
336,29.59
337,365
338,29.59
339,0
340,3.65
341,29.59
342,0
343,3.65
344,29.59
345,9
346,365
347,9
348,29.59
349,9
350,365
351,9
352,9
353,9
354,29.59
355,29.59
356,365
357,29.59
358,29.59
359,365
360,29.59
361,29.59
362,365
363,29.59
364,29.59
365,3.65
366,0
367,365
368,3.65
369,29.59
370,0
371,29.59
372,365
373,3.65
374,29.59
375,365
376,29.59
377,3.65
378,0
379,0
380,29.59
381,365
382,3.65
383,29.59
384,0
