"Sample_ID","Ablabesmyia.longistyla","Ablabesmyia.sp_","Chironomidae","Chironomini.sp_","Chironomus.acutiventris","Chironomus.annularius.cingulatus","Chironomus.lacunarius","Chironomus.nudiventris","Chironomus.plumosus","Chironomus.sp_","Chironomus.uligin_.pseudoth_.luridus","Cladopelma.sp_","Cladotanytarsus.sp_","Corynoneura.sp_","Cricotopus.albiforceps","Cricotopus.annulator","Cricotopus.bicinctus","Cricotopus.sp_","Cricotopus.sylvestris.Gr_","Cryptochironomus.sp_","Cryptotendipes.sp_","Dicrotendipes.sp_","Einfeldia.insolita.Gr_","Einfeldia.sp_","Endochironomus.albipennis","Endochironomus.sp_","Glyptotendipes.sp_","Harnischia.sp_","Microtendipes.chloris.Gr_","Orthocladiinae.sp_","Parachironomus.sp_","Polypedilum.nubeculosum","Polypedilum.sp_","Procladius.choreus","Procladius.sp_","Prodiamesa.olivacea","Psectrocladius.sordidellus","Psectrotanypus.varius","Stempellinella.brevis","Stictochironomus.sp_","Tanypodinae.sp_","Tanytarsini.sp_","Tanytarsus.aculeatus","Tanytarsus.sp_"
"990924_47_MZB",0,0,0,1097,0,0,0,0,0,0,0,0,1829,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195
"990924_52_MZB",0,0,0,0,0,0,0,0,0,1463,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,1097,0,0,1097
"990924_53_MZB",0,0,0,13168,0,0,0,0,0,0,0,3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,24140,0,0,0,0,0,10241,0,0,366
"990924_61_MZB",0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,1097,0,0,0,0,0,0
"990924_62_MZB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3658,0,0,3658,0,0,4023
"990924_63_MZB",0,0,1097,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,4389
"990924_65_MZB",0,0,0,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,1097,0,0,0,0,0,0,0,0,0
"990924_68_MZB",0,0,366,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195
"990924_69_MZB",0,0,1097,0,0,0,0,0,0,1463,0,0,1097,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,2560,0,0,0,0,0,0,2195,0,366,1097,0,2926
"990930_70_MZB",0,0,0,2195,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,366,1097,0,0,0,0,0,366,0,0,0,0,732,0,0,10973,0,0,0,0,0,0,732,0,2195
"990930_71_MZB",0,0,0,732,0,0,0,366,0,4389,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,1097,0,0,0,0,0,0,366,0,0
"990930_75_MZB",0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,732,0,0,1097,0,0,0,0,0,0,4755,0,2195
"990930_76_MZB",0,0,0,732,0,0,0,0,0,5852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5486,0,0,0,0,0,0,732,0,2926
"990930_77_MZB",0,0,0,732,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,366,2195,0,2926
"990930_78_MZB",0,0,0,366,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,366,0,0,732
"990930_79_MZB",0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366
"990930_83_MZB",0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,0
"990930_84_MZB",0,0,0,366,0,732,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,3658,0,1097,0,0,0,0,0,366,366,0,1829
"990930_85_MZB",0,0,0,732,0,0,0,0,0,10241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,1829,0,0,0,0,0,0,0,0,1097,0,0,366
