"Sample_ID","Amphichaeta.leydigii","Buchholzia.appendiculata","Chaetogaster.diastrophus","Cognettia.sp_","Dero.digitata","Eiseniella.tetraedra","Enchytraeidae.sp_","Limnodrilus.claparedeianus","Limnodrilus.hoffmeisteri","Limnodrilus.udekemianus","Lumbriculidae.sp_","Lumbriculus.variegatus","Marionina.argentea","Nais.barbata","Nais.behningi","Nais.bretscheri","Nais.elinguis","Nais.pardalis","Nais.pseudobtusa","Nais.simplex","Nais.variabilis","Oligochaeta.sp_","Potamothrix.hammoniensis","Potamothrix.moldaviensis","Potamothrix.vejdovskyi","Propappus.volki","Psammoryctides.barbatus","Slavina.appendiculata","Stylaria.lacustris","Stylodrilus.heringianus","Tubifex.ignotus","Tubifex.tubifex","Tubificidae","Uncinais.uncinata","Vejdovskyella.comata","Vejdovskyella.intermedia"
"961128_C12",0,0,0,7130,0,0,2546,0,0,0,0,4074,1019,0,0,0,0,0,0,0,0,0,1019,0,0,0,3565,0,0,0,0,0,1019,0,0,0
"961128_C13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,2546,0,0,0
"961128_C14",0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,509,0,0,0,0,2037,20881,0,0,0
"961128_C15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,1019,3565,0,0,0
"961128_C16",1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167,1528,0,509,1019,0,0,0,1019,1019,0,0,0,1019,6621,0,0,0
"961128_C2",0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,509,2547,0,0,0
"961128_C3",0,0,0,0,0,0,0,0,1019,1019,0,0,0,0,0,0,0,0,0,0,0,2037,0,1019,0,0,0,0,0,0,0,3056,16298,0,0,0
"961128_C4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,15279,0,0,0
"961128_C5",0,0,0,0,509,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,1019,1019,0,0,0,0,0,0,0,0,0,0,9167,0,0,0
"961128_C6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,509,0,0,0
"961128_C7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,0,2546,0,1019,0,509,0,0,0,0,0,0,0,4584,0,0,0
"961128_C9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,0,0,1528,0,0,0,0,0,0,0,16807,0,0,0
"961128_D1",0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,19354,0,0,0
"961128_D10",0,0,0,0,0,0,0,0,1019,1019,0,0,0,0,0,0,0,0,0,1528,1019,0,0,0,0,0,0,0,0,0,0,3565,19353,0,0,0
"961128_D2",0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,2037,0,0,0,0,0,0,0,1019,0,0,0,11204,0,0,0
"961128_D3",0,0,1019,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,2037,1019,0,0,0,0,0,0,0,0,0,0,0,0,16806,0,0,0
"961128_D4",0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,10186,0,0,1019,0,0,0,0,0,1019,0,0,0,0
"961128_D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,2037,13242,0,0,0
"961128_D6",0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19354,0,0,0
"961128_D7",0,0,0,0,0,0,0,0,1019,1528,0,0,0,1019,0,0,0,0,0,2546,1019,0,0,0,0,0,0,0,0,0,0,3565,19353,0,0,0
